voice_on_count,voice_off_count,threshold_margin_db,onset_median_ms,onset_p95_ms,end_median_ms,end_p95_ms,silence_fp_max_ms,speech_fn_max_pct,distractor_max_pct,overall_verdict
2,20,10.0,120,500,420,610,320,22.73,15,FAIL
2,20,15.0,130,500,310,380,120,29.8,28.5,FAIL
2,20,20.0,140,500,280,340,0,90.03,48.25,FAIL
2,30,10.0,120,500,520,710,420,19.9,12.5,FAIL
2,30,15.0,130,500,410,480,120,27.72,23.5,FAIL
2,30,20.0,140,500,380,440,0,74.9,40.75,FAIL
2,45,10.0,120,500,670,860,570,16.09,8.75,FAIL
2,45,15.0,130,500,560,630,120,23.45,10,FAIL
2,45,20.0,140,500,530,590,0,71.43,22.5,FAIL
3,20,10.0,130,500,420,610,120,25.24,15.25,FAIL
3,20,15.0,140,500,310,380,0,30.23,29.0,FAIL
3,20,20.0,150,500,280,340,0,94.7,48.75,FAIL
3,30,10.0,130,500,520,710,120,23.8,12.75,FAIL
3,30,15.0,140,500,410,480,0,28.15,24,FAIL
3,30,20.0,150,500,380,440,0,92.63,41.25,FAIL
3,45,10.0,130,500,670,860,120,20.48,9,FAIL
3,45,15.0,140,500,560,630,0,23.82,10.25,FAIL
3,45,20.0,150,500,530,590,0,72.53,22.75,FAIL
5,20,10.0,150,500,420,610,0,26.13,15.75,FAIL
5,20,15.0,160,500,310,380,0,33.5,30,FAIL
5,20,20.0,170,500,280,340,0,98.07,53.25,FAIL
5,30,10.0,150,500,520,710,0,24.69,13.25,FAIL
5,30,15.0,160,500,410,480,0,28.55,25,FAIL
5,30,20.0,170,500,380,440,0,97.4,45.75,FAIL
5,45,10.0,150,500,670,860,0,21.26,9.5,FAIL
5,45,15.0,160,500,560,630,0,24.11,10.75,FAIL
5,45,20.0,170,500,530,590,0,96.4,34.5,FAIL
